Facility Name,State,Condition,Excess Ratio,Predicted Rate,Expected Rate,Number of Readmissions,Variance,Above/Below National Flag
MEMORIAL HOSPITAL MIRAMAR,FL,READM-30-HF-HRRP,1.0814,22.0158,20.3581,27,1.6577,Above National
MEMORIAL HOSPITAL MIRAMAR,FL,READM-30-PN-HRRP,0.9599,15.2545,15.8922,12,-0.6377,At/Below National
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,FL,READM-30-PN-HRRP,1.0413,15.6696,15.0475,116,0.6221,Above National
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,FL,READM-30-HIP-KNEE-HRRP,1.1485,6.5779,5.7274,12,0.8505,Above National
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,FL,READM-30-HF-HRRP,1.0649,19.5407,18.3493,174,1.1914,Above National
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,FL,READM-30-COPD-HRRP,1.0764,18.4138,17.107,43,1.3068,Above National
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,FL,READM-30-CABG-HRRP,1.0321,10.6048,10.2746,18,0.3302,Above National
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,FL,READM-30-AMI-HRRP,1.074,13.303,12.3858,49,0.9172,Above National
GOOD SAMARITAN MEDICAL CENTER,FL,READM-30-HF-HRRP,1.0903,20.8039,19.0814,55,1.7225,Above National
GOOD SAMARITAN MEDICAL CENTER,FL,READM-30-COPD-HRRP,1.1384,18.9836,16.6752,22,2.3084,Above National
GOOD SAMARITAN MEDICAL CENTER,FL,READM-30-PN-HRRP,1.0783,17.5622,16.2863,58,1.2759,Above National
GOOD SAMARITAN MEDICAL CENTER,FL,READM-30-AMI-HRRP,1.0245,15.628,15.255,14,0.373,Above National
CLEVELAND CLINIC HOSPITAL,FL,READM-30-HF-HRRP,0.9662,19.1355,19.805,90,-0.6695,At/Below National
CLEVELAND CLINIC HOSPITAL,FL,READM-30-COPD-HRRP,1.0283,16.6636,16.2046,18,0.459,Above National
CLEVELAND CLINIC HOSPITAL,FL,READM-30-PN-HRRP,1.0303,17.8754,17.3505,48,0.5249,Above National
CLEVELAND CLINIC HOSPITAL,FL,READM-30-AMI-HRRP,1.0584,14.8386,14.0204,16,0.8182,Above National
"VILLAGES REGIONAL HOSPITAL, THE",FL,READM-30-PN-HRRP,1.0111,16.6978,16.5147,135,0.1831,Above National
"VILLAGES REGIONAL HOSPITAL, THE",FL,READM-30-HF-HRRP,1.0117,20.1613,19.928,173,0.2333,Above National
"VILLAGES REGIONAL HOSPITAL, THE",FL,READM-30-COPD-HRRP,1.0481,18.8167,17.9537,46,0.863,Above National
"VILLAGES REGIONAL HOSPITAL, THE",FL,READM-30-AMI-HRRP,0.9492,12.1271,12.776,40,-0.6489,At/Below National
MELBOURNE REGIONAL MEDICAL CENTER,FL,READM-30-HIP-KNEE-HRRP,1.0826,5.029,4.6452,16,0.3838,Above National
MELBOURNE REGIONAL MEDICAL CENTER,FL,READM-30-HF-HRRP,1.0308,18.9306,18.3655,18,0.5651,Above National
MELBOURNE REGIONAL MEDICAL CENTER,FL,READM-30-PN-HRRP,0.9587,13.5765,14.161,13,-0.5845,At/Below National
SACRED HEART HOSPITAL ON THE EMERALD COAST,FL,READM-30-PN-HRRP,1.0364,16.2163,15.6468,41,0.5695,Above National
SACRED HEART HOSPITAL ON THE EMERALD COAST,FL,READM-30-HF-HRRP,1.0003,19.4161,19.41,34,0.0061,Above National
DOCTORS HOSPITAL,FL,READM-30-HF-HRRP,1.0045,20.8424,20.7489,27,0.0935,Above National
DOCTORS HOSPITAL,FL,READM-30-PN-HRRP,1.0424,16.2757,15.6133,30,0.6624,Above National
LAKEWOOD RANCH MEDICAL CENTER,FL,READM-30-HF-HRRP,0.9379,18.9161,20.1693,53,-1.2532,At/Below National
LAKEWOOD RANCH MEDICAL CENTER,FL,READM-30-COPD-HRRP,1.0204,18.1249,17.7634,17,0.3615,Above National
LAKEWOOD RANCH MEDICAL CENTER,FL,READM-30-PN-HRRP,0.9342,14.6062,15.6349,26,-1.0287,At/Below National
ORLANDO HEALTH ST CLOUD HOSPITAL,FL,READM-30-PN-HRRP,1.0293,16.998,16.5149,29,0.4831,Above National
ORLANDO HEALTH ST CLOUD HOSPITAL,FL,READM-30-HF-HRRP,1.0478,21.206,20.2394,32,0.9666,Above National
ASCENSION ST VINCENT'S SOUTHSIDE,FL,READM-30-HF-HRRP,1.0377,21.2578,20.4859,49,0.7719,Above National
ASCENSION ST VINCENT'S SOUTHSIDE,FL,READM-30-COPD-HRRP,1.0072,21.3703,21.2168,12,0.1535,Above National
ASCENSION ST VINCENT'S SOUTHSIDE,FL,READM-30-PN-HRRP,1.108,18.8006,16.9682,65,1.8324,Above National
ASCENSION ST VINCENT'S SOUTHSIDE,FL,READM-30-AMI-HRRP,0.9836,13.9121,14.1436,12,-0.2315,At/Below National
WEST KENDALL BAPTIST HOSPITAL,FL,READM-30-HF-HRRP,1.0074,20.6216,20.4696,36,0.152,Above National
WEST KENDALL BAPTIST HOSPITAL,FL,READM-30-PN-HRRP,0.9361,15.7789,16.8556,31,-1.0767,At/Below National
VIERA HOSPITAL,FL,READM-30-PN-HRRP,0.8467,13.6364,16.1046,27,-2.4682,At/Below National
VIERA HOSPITAL,FL,READM-30-HF-HRRP,0.8061,16.5035,20.4732,25,-3.9697,At/Below National
PALM BAY HOSPITAL,FL,READM-30-HF-HRRP,0.8796,17.7209,20.1461,32,-2.4252,At/Below National
PALM BAY HOSPITAL,FL,READM-30-COPD-HRRP,0.8626,16.4856,19.1122,16,-2.6266,At/Below National
PALM BAY HOSPITAL,FL,READM-30-PN-HRRP,0.9876,16.6725,16.8815,45,-0.209,At/Below National
ADVENTHEALTH WESLEY CHAPEL,FL,READM-30-PN-HRRP,0.9258,15.7871,17.0525,50,-1.2654,At/Below National
ADVENTHEALTH WESLEY CHAPEL,FL,READM-30-HF-HRRP,1.0121,21.0225,20.7712,86,0.2513,Above National
ADVENTHEALTH WESLEY CHAPEL,FL,READM-30-COPD-HRRP,1.0144,18.5609,18.2971,20,0.2638,Above National
HCA FLORIDA POINCIANA HOSPITAL,FL,READM-30-HF-HRRP,1.0753,21.8336,20.3054,26,1.5282,Above National
HCA FLORIDA POINCIANA HOSPITAL,FL,READM-30-PN-HRRP,1.0275,16.3805,15.9418,21,0.4387,Above National
ASCENSION ST VINCENT'S CLAY COUNTY,FL,READM-30-PN-HRRP,1.0162,17.0952,16.8226,77,0.2726,Above National
ASCENSION ST VINCENT'S CLAY COUNTY,FL,READM-30-HF-HRRP,1.0447,21.6863,20.7576,81,0.9287,Above National
ASCENSION ST VINCENT'S CLAY COUNTY,FL,READM-30-COPD-HRRP,1.0152,19.0667,18.7818,24,0.2849,Above National
ASCENSION ST VINCENT'S CLAY COUNTY,FL,READM-30-AMI-HRRP,1.048,15.784,15.0608,23,0.7232,Above National
OVIEDO MEDICAL CENTER,FL,READM-30-HF-HRRP,1.0306,20.3924,19.7861,24,0.6063,Above National
OVIEDO MEDICAL CENTER,FL,READM-30-PN-HRRP,0.9586,14.7819,15.4197,13,-0.6378,At/Below National
SARASOTA MEMORIAL HOSPITAL - VENICE,FL,READM-30-PN-HRRP,0.8444,13.7726,16.311,35,-2.5384,At/Below National
SARASOTA MEMORIAL HOSPITAL - VENICE,FL,READM-30-HF-HRRP,1.0312,20.7957,20.1666,81,0.6291,Above National
SARASOTA MEMORIAL HOSPITAL - VENICE,FL,READM-30-COPD-HRRP,1.0077,19.2468,19.0996,23,0.1472,Above National
SARASOTA MEMORIAL HOSPITAL - VENICE,FL,READM-30-AMI-HRRP,0.9611,13.4953,14.0418,12,-0.5465,At/Below National
HAMILTON MEDICAL CENTER,GA,READM-30-HF-HRRP,0.9519,18.9556,19.9144,75,-0.9588,At/Below National
HAMILTON MEDICAL CENTER,GA,READM-30-COPD-HRRP,1.064,19.1282,17.9779,26,1.1503,Above National
HAMILTON MEDICAL CENTER,GA,READM-30-PN-HRRP,1.0016,15.9575,15.9324,55,0.0251,Above National
HAMILTON MEDICAL CENTER,GA,READM-30-AMI-HRRP,0.9806,13.3352,13.5996,20,-0.2644,At/Below National
UPSON REGIONAL MEDICAL CENTER,GA,READM-30-PN-HRRP,1.0604,14.8235,13.9787,19,0.8448,Above National
UPSON REGIONAL MEDICAL CENTER,GA,READM-30-HF-HRRP,1.0243,17.3572,16.9458,15,0.4114,Above National
MEMORIAL SATILLA HEALTH,GA,READM-30-HF-HRRP,1.0029,19.5929,19.5357,39,0.0572,Above National
MEMORIAL SATILLA HEALTH,GA,READM-30-COPD-HRRP,1.0318,19.3092,18.7146,12,0.5946,Above National
MEMORIAL SATILLA HEALTH,GA,READM-30-PN-HRRP,0.9374,15.1818,16.1955,33,-1.0137,At/Below National
MEMORIAL SATILLA HEALTH,GA,READM-30-AMI-HRRP,1.0254,11.9957,11.6987,11,0.297,Above National
NORTHSIDE HOSPITAL FORSYTH,GA,READM-30-PN-HRRP,0.9891,15.3208,15.4902,82,-0.1694,At/Below National
NORTHSIDE HOSPITAL FORSYTH,GA,READM-30-HF-HRRP,0.9663,18.7849,19.4402,109,-0.6553,At/Below National
NORTHSIDE HOSPITAL FORSYTH,GA,READM-30-COPD-HRRP,0.9108,17.3265,19.024,18,-1.6975,At/Below National
NORTHSIDE HOSPITAL FORSYTH,GA,READM-30-AMI-HRRP,0.9106,11.4898,12.6181,14,-1.1283,At/Below National
ST MARY'S HOSPITAL,GA,READM-30-HF-HRRP,1.0334,19.0716,18.4546,41,0.617,Above National
ST MARY'S HOSPITAL,GA,READM-30-AMI-HRRP,0.9796,11.2401,11.4743,14,-0.2342,At/Below National
ST MARY'S HOSPITAL,GA,READM-30-PN-HRRP,1.0074,15.4952,15.3821,29,0.1131,Above National
PHOEBE PUTNEY MEMORIAL HOSPITAL,GA,READM-30-PN-HRRP,0.9273,14.6618,15.812,41,-1.1502,At/Below National
PHOEBE PUTNEY MEMORIAL HOSPITAL,GA,READM-30-HF-HRRP,1.0259,20.4144,19.8995,90,0.5149,Above National
PHOEBE PUTNEY MEMORIAL HOSPITAL,GA,READM-30-COPD-HRRP,1.1133,19.4099,17.4347,51,1.9752,Above National
PHOEBE PUTNEY MEMORIAL HOSPITAL,GA,READM-30-AMI-HRRP,1.1009,13.8712,12.5999,29,1.2713,Above National
NORTHSIDE HOSPITAL CHEROKEE,GA,READM-30-HF-HRRP,0.9613,19.1968,19.9696,103,-0.7728,At/Below National
NORTHSIDE HOSPITAL CHEROKEE,GA,READM-30-COPD-HRRP,1.0323,19.4376,18.8296,36,0.608,Above National
NORTHSIDE HOSPITAL CHEROKEE,GA,READM-30-PN-HRRP,1.0479,16.5056,15.7516,88,0.754,Above National
NORTHSIDE HOSPITAL CHEROKEE,GA,READM-30-AMI-HRRP,0.8818,12.0612,13.6776,15,-1.6164,At/Below National
EMORY UNIVERSITY HOSPITAL,GA,READM-30-PN-HRRP,1.0356,17.647,17.04,70,0.607,Above National
EMORY UNIVERSITY HOSPITAL,GA,READM-30-HF-HRRP,1.0081,18.9635,18.8107,106,0.1528,Above National
EMORY UNIVERSITY HOSPITAL,GA,READM-30-AMI-HRRP,0.9628,13.6078,14.1335,13,-0.5257,At/Below National
TANNER MEDICAL CENTER - CARROLLTON,GA,READM-30-HF-HRRP,1.0424,19.5443,18.7486,59,0.7957,Above National
TANNER MEDICAL CENTER - CARROLLTON,GA,READM-30-COPD-HRRP,0.9626,16.8059,17.459,17,-0.6531,At/Below National
TANNER MEDICAL CENTER - CARROLLTON,GA,READM-30-PN-HRRP,0.9977,14.793,14.8274,46,-0.0344,At/Below National
TANNER MEDICAL CENTER - CARROLLTON,GA,READM-30-AMI-HRRP,0.9984,12.7165,12.7366,19,-0.0201,At/Below National
TANNER MEDICAL CENTER VILLA RICA,GA,READM-30-PN-HRRP,1.0503,14.8957,14.1818,22,0.7139,Above National
TANNER MEDICAL CENTER VILLA RICA,GA,READM-30-HF-HRRP,1.1228,21.1738,18.8576,34,2.3162,Above National
TANNER MEDICAL CENTER VILLA RICA,GA,READM-30-COPD-HRRP,1.0284,17.1392,16.6653,13,0.4739,Above National
WELLSTAR WEST GEORGIA MEDICAL CENTER,GA,READM-30-HF-HRRP,1.0679,20.863,19.537,76,1.326,Above National
WELLSTAR WEST GEORGIA MEDICAL CENTER,GA,READM-30-PN-HRRP,0.9835,15.6979,15.9608,32,-0.2629,At/Below National
PIEDMONT NEWTON HOSPITAL,GA,READM-30-PN-HRRP,0.9816,14.7961,15.0727,18,-0.2766,At/Below National
PIEDMONT NEWTON HOSPITAL,GA,READM-30-HF-HRRP,1.0388,19.9549,19.2094,45,0.7455,Above National
ADVENTHEALTH GORDON,GA,READM-30-PN-HRRP,0.9733,17.5533,18.0341,35,-0.4808,At/Below National
ADVENTHEALTH GORDON,GA,READM-30-HF-HRRP,0.9791,20.8453,21.2909,31,-0.4456,At/Below National
CANDLER HOSPITAL,GA,READM-30-PN-HRRP,1.0224,15.5382,15.1985,31,0.3397,Above National
CANDLER HOSPITAL,GA,READM-30-HF-HRRP,0.9221,17.4971,18.9747,25,-1.4776,At/Below National
CANDLER HOSPITAL,GA,READM-30-COPD-HRRP,0.9542,16.3808,17.1674,17,-0.7866,At/Below National
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,GA,READM-30-HF-HRRP,0.9957,19.5054,19.5898,106,-0.0844,At/Below National
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,GA,READM-30-COPD-HRRP,1.0284,17.7971,17.3056,30,0.4915,Above National
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,GA,READM-30-PN-HRRP,1.06,16.3736,15.4469,84,0.9267,Above National
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,GA,READM-30-AMI-HRRP,0.9519,13.4818,14.1629,13,-0.6811,At/Below National
"TY COBB REGIONAL MEDICAL CENTER, LLC",GA,READM-30-PN-HRRP,0.9858,12.9748,13.1613,14,-0.1865,At/Below National
"TY COBB REGIONAL MEDICAL CENTER, LLC",GA,READM-30-HF-HRRP,1.0637,17.6584,16.6013,18,1.0571,Above National
PIEDMONT AUGUSTA HOSPITAL,GA,READM-30-HF-HRRP,1.0108,20.4949,20.276,201,0.2189,Above National
PIEDMONT AUGUSTA HOSPITAL,GA,READM-30-COPD-HRRP,0.9788,17.4587,17.8375,31,-0.3788,At/Below National
PIEDMONT AUGUSTA HOSPITAL,GA,READM-30-CABG-HRRP,1.0692,10.9445,10.2361,16,0.7084,Above National
PIEDMONT AUGUSTA HOSPITAL,GA,READM-30-PN-HRRP,1.0038,15.8576,15.7968,87,0.0608,Above National
PIEDMONT AUGUSTA HOSPITAL,GA,READM-30-AMI-HRRP,0.9347,12.6639,13.5488,44,-0.8849,At/Below National
"NORTHEAST GEORGIA MEDICAL CENTER, INC",GA,READM-30-PN-HRRP,0.9518,15.0726,15.8363,164,-0.7637,At/Below National
"NORTHEAST GEORGIA MEDICAL CENTER, INC",GA,READM-30-HF-HRRP,0.9473,18.4087,19.4332,265,-1.0245,At/Below National
"NORTHEAST GEORGIA MEDICAL CENTER, INC",GA,READM-30-COPD-HRRP,0.9687,18.3596,18.9522,88,-0.5926,At/Below National
"NORTHEAST GEORGIA MEDICAL CENTER, INC",GA,READM-30-CABG-HRRP,1.1437,12.1616,10.6332,44,1.5284,Above National
"NORTHEAST GEORGIA MEDICAL CENTER, INC",GA,READM-30-AMI-HRRP,0.8373,10.5332,12.5803,66,-2.0471,At/Below National
PIEDMONT CARTERSVILLE MEDICAL CENTER,GA,READM-30-HF-HRRP,1.0599,22.7973,21.5085,69,1.2888,Above National
PIEDMONT CARTERSVILLE MEDICAL CENTER,GA,READM-30-PN-HRRP,1.0258,17.0404,16.6111,44,0.4293,Above National
PIEDMONT CARTERSVILLE MEDICAL CENTER,GA,READM-30-AMI-HRRP,1.044,16.6888,15.9859,16,0.7029,Above National
WELLSTAR SPALDING MEDICAL CENTER,GA,READM-30-PN-HRRP,0.976,15.8568,16.247,28,-0.3902,At/Below National
WELLSTAR SPALDING MEDICAL CENTER,GA,READM-30-HF-HRRP,1.0129,18.9349,18.6945,38,0.2404,Above National
WELLSTAR SPALDING MEDICAL CENTER,GA,READM-30-COPD-HRRP,1.003,17.3373,17.2849,17,0.0524,Above National
WELLSTAR SPALDING MEDICAL CENTER,GA,READM-30-AMI-HRRP,1.2268,14.9862,12.2156,23,2.7706,Above National
STEPHENS COUNTY HOSPITAL,GA,READM-30-HF-HRRP,0.9813,17.3009,17.6303,11,-0.3294,At/Below National
STEPHENS COUNTY HOSPITAL,GA,READM-30-PN-HRRP,1.0171,14.6686,14.4219,13,0.2467,Above National
AU MEDICAL CENTER,GA,READM-30-PN-HRRP,1.0205,17.1951,16.8503,32,0.3448,Above National
AU MEDICAL CENTER,GA,READM-30-HF-HRRP,1.0921,22.4268,20.5355,53,1.8913,Above National
AU MEDICAL CENTER,GA,READM-30-COPD-HRRP,1.0395,18.1013,17.4132,15,0.6881,Above National
AU MEDICAL CENTER,GA,READM-30-AMI-HRRP,0.9811,12.7326,12.9775,14,-0.2449,At/Below National
WELLSTAR KENNESTONE REGIONAL MEDICAL CENTER,GA,READM-30-HF-HRRP,0.907,17.725,19.5426,213,-1.8176,At/Below National
WELLSTAR KENNESTONE REGIONAL MEDICAL CENTER,GA,READM-30-COPD-HRRP,0.9548,18.3206,19.1882,40,-0.8676,At/Below National
WELLSTAR KENNESTONE REGIONAL MEDICAL CENTER,GA,READM-30-CABG-HRRP,1.015,11.014,10.8515,31,0.1625,Above National
WELLSTAR KENNESTONE REGIONAL MEDICAL CENTER,GA,READM-30-PN-HRRP,0.9689,15.1879,15.676,137,-0.4881,At/Below National
WELLSTAR KENNESTONE REGIONAL MEDICAL CENTER,GA,READM-30-AMI-HRRP,0.8784,11.0836,12.6176,32,-1.534,At/Below National
MEMORIAL UNIVERSITY MEDICAL CENTER,GA,READM-30-PN-HRRP,0.9711,15.796,16.2665,74,-0.4705,At/Below National
MEMORIAL UNIVERSITY MEDICAL CENTER,GA,READM-30-HF-HRRP,0.9567,18.272,19.0988,87,-0.8268,At/Below National
MEMORIAL UNIVERSITY MEDICAL CENTER,GA,READM-30-COPD-HRRP,1.0593,19.958,18.8399,17,1.1181,Above National
MEMORIAL UNIVERSITY MEDICAL CENTER,GA,READM-30-CABG-HRRP,1.0819,10.0618,9.3003,11,0.7615,Above National
MEMORIAL UNIVERSITY MEDICAL CENTER,GA,READM-30-AMI-HRRP,1.1229,13.6956,12.1969,40,1.4987,Above National
ARCHBOLD MEMORIAL HOSPITAL,GA,READM-30-HF-HRRP,1.0043,19.6128,19.5295,56,0.0833,Above National
ARCHBOLD MEMORIAL HOSPITAL,GA,READM-30-COPD-HRRP,1.025,18.7667,18.3089,13,0.4578,Above National
ARCHBOLD MEMORIAL HOSPITAL,GA,READM-30-PN-HRRP,0.9324,14.862,15.9388,32,-1.0768,At/Below National
ARCHBOLD MEMORIAL HOSPITAL,GA,READM-30-AMI-HRRP,0.9859,14.1638,14.3669,19,-0.2031,At/Below National
NORTHEAST GEORGIA MEDICAL CENTER HABERSHAM,GA,READM-30-PN-HRRP,0.9873,13.7577,13.9352,11,-0.1775,At/Below National
WELLSTAR PAULDING MEDICAL CENTER,GA,READM-30-HF-HRRP,1.0517,21.6393,20.5756,138,1.0637,Above National
WELLSTAR PAULDING MEDICAL CENTER,GA,READM-30-COPD-HRRP,1.0182,17.9115,17.5913,26,0.3202,Above National
WELLSTAR PAULDING MEDICAL CENTER,GA,READM-30-PN-HRRP,1.0977,16.8014,15.3065,77,1.4949,Above National
ST JOSEPH'S HOSPITAL - SAVANNAH,GA,READM-30-PN-HRRP,1.0745,16.5823,15.4321,42,1.1502,Above National
ST JOSEPH'S HOSPITAL - SAVANNAH,GA,READM-30-HF-HRRP,0.9996,18.0123,18.0186,65,-0.0063,At/Below National
ST JOSEPH'S HOSPITAL - SAVANNAH,GA,READM-30-COPD-HRRP,0.9557,17.8151,18.6409,20,-0.8258,At/Below National
ST JOSEPH'S HOSPITAL - SAVANNAH,GA,READM-30-AMI-HRRP,0.9836,11.7689,11.9647,19,-0.1958,At/Below National
PHOEBE SUMTER MEDICAL CENTER,GA,READM-30-HF-HRRP,1.0504,18.4305,17.5461,15,0.8844,Above National
"NGMC BARROW, LLC",GA,READM-30-PN-HRRP,1.0199,15.5983,15.2933,11,0.305,Above National
PIEDMONT WALTON HOSPITAL,GA,READM-30-HF-HRRP,1.0205,21.5306,21.0979,40,0.4327,Above National
PIEDMONT WALTON HOSPITAL,GA,READM-30-COPD-HRRP,1.0188,18.935,18.5848,11,0.3502,Above National
PIEDMONT WALTON HOSPITAL,GA,READM-30-PN-HRRP,0.9645,14.6244,15.1625,21,-0.5381,At/Below National
UNION GENERAL HOSPITAL,GA,READM-30-HF-HRRP,1.0195,18.2059,17.8573,31,0.3486,Above National
UNION GENERAL HOSPITAL,GA,READM-30-COPD-HRRP,0.9893,17.9702,18.1645,13,-0.1943,At/Below National
UNION GENERAL HOSPITAL,GA,READM-30-PN-HRRP,0.9671,14.4378,14.9291,31,-0.4913,At/Below National
ATRIUM HEALTH FLOYD MEDICAL CENTER,GA,READM-30-PN-HRRP,0.9992,16.4754,16.4887,67,-0.0133,At/Below National
ATRIUM HEALTH FLOYD MEDICAL CENTER,GA,READM-30-HF-HRRP,0.9673,20.3726,21.0616,84,-0.689,At/Below National
ATRIUM HEALTH FLOYD MEDICAL CENTER,GA,READM-30-COPD-HRRP,1.0253,20.7555,20.2443,46,0.5112,Above National
ATRIUM HEALTH FLOYD MEDICAL CENTER,GA,READM-30-AMI-HRRP,1.0516,14.9884,14.2531,27,0.7353,Above National
PIEDMONT COLUMBUS REGIONAL MIDTOWN,GA,READM-30-HF-HRRP,0.9844,20.9537,21.2866,37,-0.3329,At/Below National
PIEDMONT COLUMBUS REGIONAL MIDTOWN,GA,READM-30-COPD-HRRP,1.0147,19.0944,18.8172,16,0.2772,Above National
PIEDMONT COLUMBUS REGIONAL MIDTOWN,GA,READM-30-PN-HRRP,0.972,18.1116,18.6327,50,-0.5211,At/Below National
HOUSTON HEALTHCARE,GA,READM-30-PN-HRRP,1.1346,18.2206,16.0593,93,2.1613,Above National
HOUSTON HEALTHCARE,GA,READM-30-HF-HRRP,0.9157,17.5092,19.1209,72,-1.6117,At/Below National
HOUSTON HEALTHCARE,GA,READM-30-COPD-HRRP,0.9845,18.5223,18.8136,37,-0.2913,At/Below National
HOUSTON HEALTHCARE,GA,READM-30-AMI-HRRP,1.1214,14.8183,13.2147,32,1.6036,Above National
PIEDMONT ATHENS REGIONAL MEDICAL CENTER,GA,READM-30-PN-HRRP,0.9972,17.4983,17.5468,95,-0.0485,At/Below National
PIEDMONT ATHENS REGIONAL MEDICAL CENTER,GA,READM-30-HF-HRRP,1.0151,21.3069,20.9906,202,0.3163,Above National
PIEDMONT ATHENS REGIONAL MEDICAL CENTER,GA,READM-30-COPD-HRRP,1.007,20.0724,19.933,45,0.1394,Above National
PIEDMONT ATHENS REGIONAL MEDICAL CENTER,GA,READM-30-CABG-HRRP,1.0271,9.1919,8.9491,14,0.2428,Above National
PIEDMONT ATHENS REGIONAL MEDICAL CENTER,GA,READM-30-AMI-HRRP,1.0323,13.4085,12.9892,42,0.4193,Above National
EAST GEORGIA REGIONAL MEDICAL CENTER,GA,READM-30-PN-HRRP,0.9683,16.3885,16.9241,34,-0.5356,At/Below National
EAST GEORGIA REGIONAL MEDICAL CENTER,GA,READM-30-HF-HRRP,1.0077,21.0631,20.9013,53,0.1618,Above National
EAST GEORGIA REGIONAL MEDICAL CENTER,GA,READM-30-COPD-HRRP,1.0316,19.527,18.9283,17,0.5987,Above National
EAST GEORGIA REGIONAL MEDICAL CENTER,GA,READM-30-AMI-HRRP,1.0924,15.6749,14.3485,18,1.3264,Above National
EMORY DECATUR HOSPITAL,GA,READM-30-PN-HRRP,0.9781,15.0978,15.4359,26,-0.3381,At/Below National
EMORY DECATUR HOSPITAL,GA,READM-30-HF-HRRP,1.0527,19.6979,18.7116,56,0.9863,Above National
EMORY DECATUR HOSPITAL,GA,READM-30-COPD-HRRP,1.0031,18.7382,18.6798,12,0.0584,Above National
EMORY DECATUR HOSPITAL,GA,READM-30-AMI-HRRP,1.0565,13.9285,13.1831,15,0.7454,Above National
EMORY UNIVERSITY HOSPITAL MIDTOWN,GA,READM-30-PN-HRRP,0.9972,17.2339,17.2831,26,-0.0492,At/Below National
EMORY UNIVERSITY HOSPITAL MIDTOWN,GA,READM-30-HF-HRRP,1.1135,22.5861,20.2838,99,2.3023,Above National
EMORY UNIVERSITY HOSPITAL MIDTOWN,GA,READM-30-COPD-HRRP,1.0186,20.2897,19.9186,17,0.3711,Above National
EMORY UNIVERSITY HOSPITAL MIDTOWN,GA,READM-30-AMI-HRRP,0.9548,15.6976,16.4399,12,-0.7423,At/Below National
GRADY MEMORIAL HOSPITAL,GA,READM-30-PN-HRRP,0.9566,16.0216,16.7493,17,-0.7277,At/Below National
GRADY MEMORIAL HOSPITAL,GA,READM-30-HF-HRRP,1.1354,21.9059,19.2933,54,2.6126,Above National
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",GA,READM-30-PN-HRRP,0.9933,14.6411,14.7391,59,-0.098,At/Below National
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",GA,READM-30-HF-HRRP,1.0145,19.2296,18.9541,146,0.2755,Above National
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",GA,READM-30-COPD-HRRP,0.9917,18.1465,18.2984,16,-0.1519,At/Below National
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",GA,READM-30-CABG-HRRP,1.0399,9.2667,8.9111,26,0.3556,Above National
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",GA,READM-30-AMI-HRRP,1.0075,12.4437,12.351,23,0.0927,Above National
PIEDMONT HOSPITAL,GA,READM-30-PN-HRRP,0.9298,15.1979,16.3458,41,-1.1479,At/Below National
PIEDMONT HOSPITAL,GA,READM-30-HF-HRRP,0.9455,18.8702,19.9582,171,-1.088,At/Below National
PIEDMONT HOSPITAL,GA,READM-30-COPD-HRRP,0.9714,18.2638,18.8022,13,-0.5384,At/Below National
PIEDMONT HOSPITAL,GA,READM-30-CABG-HRRP,0.945,9.5057,10.059,32,-0.5533,At/Below National
PIEDMONT HOSPITAL,GA,READM-30-AMI-HRRP,0.9865,13.6404,13.8273,49,-0.1869,At/Below National
NORTHSIDE HOSPITAL GWINNETT,GA,READM-30-PN-HRRP,0.9412,16.4321,17.4588,92,-1.0267,At/Below National
NORTHSIDE HOSPITAL GWINNETT,GA,READM-30-HF-HRRP,1.0738,21.7304,20.2367,137,1.4937,Above National
NORTHSIDE HOSPITAL GWINNETT,GA,READM-30-COPD-HRRP,0.9996,18.8833,18.8907,30,-0.0074,At/Below National
NORTHSIDE HOSPITAL GWINNETT,GA,READM-30-CABG-HRRP,0.9369,10.5681,11.2793,14,-0.7112,At/Below National
NORTHSIDE HOSPITAL GWINNETT,GA,READM-30-AMI-HRRP,0.9285,13.3975,14.4295,22,-1.032,At/Below National
"COFFEE REGIONAL MEDICAL CENTER, INC",GA,READM-30-PN-HRRP,1.0566,16.527,15.6418,30,0.8852,Above National
"COFFEE REGIONAL MEDICAL CENTER, INC",GA,READM-30-HF-HRRP,0.9903,19.0194,19.2062,21,-0.1868,At/Below National
"COFFEE REGIONAL MEDICAL CENTER, INC",GA,READM-30-COPD-HRRP,1.0978,18.2963,16.6667,21,1.6296,Above National
